"group","id_month","date","behavior","n","perc_behavior"
"Guareí","Aug","2019-08-11","Foraging",33,28.695652173913
"Guareí","Aug","2019-08-11","Frugivory",34,29.5652173913043
"Guareí","Aug","2019-08-11","Resting",3,2.60869565217391
"Guareí","Aug","2019-08-11","Travel",18,15.6521739130435
"Guareí","Aug","2019-08-12","Foraging",35,29.4117647058824
"Guareí","Aug","2019-08-12","Frugivory",22,18.4873949579832
"Guareí","Aug","2019-08-12","Resting",16,13.4453781512605
"Guareí","Aug","2019-08-12","Travel",20,16.8067226890756
"Guareí","Aug","2019-08-13","Foraging",49,42.2413793103448
"Guareí","Aug","2019-08-13","Frugivory",25,21.551724137931
"Guareí","Aug","2019-08-13","Travel",18,15.5172413793103
"Guareí","Aug","2019-08-14","Foraging",46,44.2307692307692
"Guareí","Aug","2019-08-14","Frugivory",23,22.1153846153846
"Guareí","Aug","2019-08-14","Resting",10,9.61538461538462
"Guareí","Aug","2019-08-14","Travel",12,11.5384615384615
"Guareí","Aug","2019-08-15","Foraging",24,23.5294117647059
"Guareí","Aug","2019-08-15","Frugivory",40,39.2156862745098
"Guareí","Aug","2019-08-15","Resting",6,5.88235294117647
"Guareí","Aug","2019-08-15","Travel",16,15.6862745098039
"Guareí","Aug","2019-08-19","Foraging",37,45.1219512195122
"Guareí","Aug","2019-08-19","Frugivory",23,28.0487804878049
"Guareí","Aug","2019-08-19","Travel",5,6.09756097560976
"Guareí","Aug","2019-08-20","Foraging",42,37.8378378378378
"Guareí","Aug","2019-08-20","Frugivory",30,27.027027027027
"Guareí","Aug","2019-08-20","Travel",14,12.6126126126126
"Guareí","Aug","2019-08-21","Foraging",29,24.5762711864407
"Guareí","Aug","2019-08-21","Frugivory",39,33.0508474576271
"Guareí","Aug","2019-08-21","Travel",30,25.4237288135593
"Guareí","Jul","2019-07-11","Foraging",11,11.8279569892473
"Guareí","Jul","2019-07-11","Frugivory",38,40.8602150537634
"Guareí","Jul","2019-07-11","Travel",24,25.8064516129032
"Guareí","Jul","2019-07-12","Foraging",43,35.8333333333333
"Guareí","Jul","2019-07-12","Frugivory",31,25.8333333333333
"Guareí","Jul","2019-07-12","Resting",3,2.5
"Guareí","Jul","2019-07-12","Travel",27,22.5
"Guareí","Jul","2019-07-13","Foraging",27,25.9615384615385
"Guareí","Jul","2019-07-13","Frugivory",49,47.1153846153846
"Guareí","Jul","2019-07-13","Travel",23,22.1153846153846
"Guareí","Jul","2019-07-16","Foraging",38,34.8623853211009
"Guareí","Jul","2019-07-16","Frugivory",23,21.1009174311927
"Guareí","Jul","2019-07-16","Resting",2,1.8348623853211
"Guareí","Jul","2019-07-16","Travel",29,26.605504587156
"Guareí","Jul","2019-07-17","Foraging",29,29
"Guareí","Jul","2019-07-17","Frugivory",30,30
"Guareí","Jul","2019-07-17","Resting",6,6
"Guareí","Jul","2019-07-17","Travel",19,19
"Guareí","Jul","2019-07-18","Foraging",17,16.0377358490566
"Guareí","Jul","2019-07-18","Frugivory",63,59.4339622641509
"Guareí","Jul","2019-07-18","Travel",17,16.0377358490566
"Guareí","Jul","2019-07-19","Foraging",28,25.9259259259259
"Guareí","Jul","2019-07-19","Frugivory",39,36.1111111111111
"Guareí","Jul","2019-07-19","Resting",1,0.925925925925926
"Guareí","Jul","2019-07-19","Travel",29,26.8518518518519
"Guareí","Jul","2019-07-20","Foraging",33,29.2035398230088
"Guareí","Jul","2019-07-20","Frugivory",41,36.283185840708
"Guareí","Jul","2019-07-20","Travel",24,21.2389380530973
"Guareí","Jun","2019-06-10","Foraging",21,19.0909090909091
"Guareí","Jun","2019-06-10","Frugivory",30,27.2727272727273
"Guareí","Jun","2019-06-10","Travel",34,30.9090909090909
"Guareí","Jun","2019-06-11","Foraging",25,25.5102040816327
"Guareí","Jun","2019-06-11","Frugivory",33,33.6734693877551
"Guareí","Jun","2019-06-11","Travel",28,28.5714285714286
"Guareí","Jun","2019-06-12","Foraging",17,16.1904761904762
"Guareí","Jun","2019-06-12","Frugivory",37,35.2380952380952
"Guareí","Jun","2019-06-12","Travel",35,33.3333333333333
"Guareí","Jun","2019-06-14","Foraging",38,31.9327731092437
"Guareí","Jun","2019-06-14","Frugivory",21,17.6470588235294
"Guareí","Jun","2019-06-14","Resting",1,0.840336134453782
"Guareí","Jun","2019-06-14","Travel",41,34.453781512605
"Guareí","Jun","2019-06-15","Foraging",44,36.9747899159664
"Guareí","Jun","2019-06-15","Frugivory",33,27.7310924369748
"Guareí","Jun","2019-06-15","Resting",4,3.36134453781513
"Guareí","Jun","2019-06-15","Travel",28,23.5294117647059
"Guareí","Jun","2019-06-17","Foraging",38,35.8490566037736
"Guareí","Jun","2019-06-17","Frugivory",27,25.4716981132075
"Guareí","Jun","2019-06-17","Travel",35,33.0188679245283
"Guareí","May","2019-05-16","Foraging",22,18.9655172413793
"Guareí","May","2019-05-16","Frugivory",45,38.7931034482759
"Guareí","May","2019-05-16","Travel",35,30.1724137931034
"Guareí","May","2019-05-17","Foraging",25,22.7272727272727
"Guareí","May","2019-05-17","Frugivory",22,20
"Guareí","May","2019-05-17","Travel",44,40
"Guareí","May","2019-05-18","Foraging",16,15.3846153846154
"Guareí","May","2019-05-18","Frugivory",50,48.0769230769231
"Guareí","May","2019-05-18","Travel",33,31.7307692307692
"Guareí","May","2019-05-20","Foraging",22,18.8034188034188
"Guareí","May","2019-05-20","Frugivory",46,39.3162393162393
"Guareí","May","2019-05-20","Travel",37,31.6239316239316
"Santa Maria","Apr","2015-04-09","Foraging",15,14.018691588785
"Santa Maria","Apr","2015-04-09","Frugivory",41,38.3177570093458
"Santa Maria","Apr","2015-04-09","Resting",11,10.2803738317757
"Santa Maria","Apr","2015-04-09","Travel",10,9.34579439252336
"Santa Maria","Apr","2015-04-11","Foraging",9,8.03571428571429
"Santa Maria","Apr","2015-04-11","Frugivory",42,37.5
"Santa Maria","Apr","2015-04-11","Resting",12,10.7142857142857
"Santa Maria","Apr","2015-04-11","Travel",9,8.03571428571429
"Santa Maria","Apr","2015-04-12","Foraging",14,11.7647058823529
"Santa Maria","Apr","2015-04-12","Frugivory",41,34.453781512605
"Santa Maria","Apr","2015-04-12","Resting",4,3.36134453781513
"Santa Maria","Apr","2015-04-12","Travel",13,10.9243697478992
"Santa Maria","Apr","2015-04-15","Foraging",22,19.4690265486726
"Santa Maria","Apr","2015-04-15","Frugivory",35,30.9734513274336
"Santa Maria","Apr","2015-04-15","Resting",12,10.6194690265487
"Santa Maria","Apr","2015-04-15","Travel",6,5.30973451327434
"Santa Maria","Mar","2015-03-15","Foraging",4,3.96039603960396
"Santa Maria","Mar","2015-03-15","Frugivory",13,12.8712871287129
"Santa Maria","Mar","2015-03-15","Resting",36,35.6435643564356
"Santa Maria","Mar","2015-03-15","Travel",15,14.8514851485149
"Santa Maria","Mar","2015-03-18","Foraging",12,8.88888888888889
"Santa Maria","Mar","2015-03-18","Frugivory",48,35.5555555555556
"Santa Maria","Mar","2015-03-18","Resting",12,8.88888888888889
"Santa Maria","Mar","2015-03-18","Travel",20,14.8148148148148
"Santa Maria","Mar","2015-03-20","Foraging",14,11.864406779661
"Santa Maria","Mar","2015-03-20","Frugivory",22,18.6440677966102
"Santa Maria","Mar","2015-03-20","Resting",38,32.2033898305085
"Santa Maria","Mar","2015-03-20","Travel",11,9.32203389830508
"Santa Maria","Mar","2015-03-21","Foraging",39,32.7731092436975
"Santa Maria","Mar","2015-03-21","Frugivory",11,9.2436974789916
"Santa Maria","Mar","2015-03-21","Resting",11,9.2436974789916
"Santa Maria","Mar","2015-03-21","Travel",12,10.0840336134454
"Santa Maria","Mar","2015-03-29","Foraging",17,14.1666666666667
"Santa Maria","Mar","2015-03-29","Frugivory",40,33.3333333333333
"Santa Maria","Mar","2015-03-29","Resting",18,15
"Santa Maria","Mar","2015-03-29","Travel",13,10.8333333333333
"Santa Maria","Mar","2015-03-31","Foraging",18,16.9811320754717
"Santa Maria","Mar","2015-03-31","Frugivory",44,41.5094339622642
"Santa Maria","Mar","2015-03-31","Resting",10,9.43396226415094
"Santa Maria","Mar","2015-03-31","Travel",1,0.943396226415094
"Suzano","Dec","2018-12-06","Foraging",12,9.16030534351145
"Suzano","Dec","2018-12-06","Frugivory",29,22.1374045801527
"Suzano","Dec","2018-12-06","Resting",49,37.4045801526718
"Suzano","Dec","2018-12-06","Travel",22,16.793893129771
"Suzano","Dec","2018-12-07","Foraging",9,7.25806451612903
"Suzano","Dec","2018-12-07","Frugivory",21,16.9354838709677
"Suzano","Dec","2018-12-07","Resting",47,37.9032258064516
"Suzano","Dec","2018-12-07","Travel",27,21.7741935483871
"Suzano","Dec","2018-12-08","Foraging",8,6.61157024793388
"Suzano","Dec","2018-12-08","Frugivory",23,19.0082644628099
"Suzano","Dec","2018-12-08","Resting",32,26.4462809917355
"Suzano","Dec","2018-12-08","Travel",40,33.0578512396694
"Suzano","Dec","2018-12-09","Foraging",8,6.34920634920635
"Suzano","Dec","2018-12-09","Frugivory",22,17.4603174603175
"Suzano","Dec","2018-12-09","Resting",45,35.7142857142857
"Suzano","Dec","2018-12-09","Travel",35,27.7777777777778
"Suzano","Dec","2018-12-10","Foraging",6,5.66037735849057
"Suzano","Dec","2018-12-10","Frugivory",17,16.0377358490566
"Suzano","Dec","2018-12-10","Resting",29,27.3584905660377
"Suzano","Dec","2018-12-10","Travel",34,32.0754716981132
"Suzano","Dec","2018-12-11","Foraging",9,7.6271186440678
"Suzano","Dec","2018-12-11","Frugivory",13,11.0169491525424
"Suzano","Dec","2018-12-11","Resting",34,28.8135593220339
"Suzano","Dec","2018-12-11","Travel",38,32.2033898305085
"Suzano","Sep","2018-09-09","Foraging",11,9.90990990990991
"Suzano","Sep","2018-09-09","Frugivory",23,20.7207207207207
"Suzano","Sep","2018-09-09","Resting",35,31.5315315315315
"Suzano","Sep","2018-09-09","Travel",28,25.2252252252252
"Suzano","Sep","2018-09-10","Foraging",10,8.33333333333333
"Suzano","Sep","2018-09-10","Frugivory",26,21.6666666666667
"Suzano","Sep","2018-09-10","Resting",50,41.6666666666667
"Suzano","Sep","2018-09-10","Travel",17,14.1666666666667
"Suzano","Sep","2018-09-11","Foraging",12,10.3448275862069
"Suzano","Sep","2018-09-11","Frugivory",19,16.3793103448276
"Suzano","Sep","2018-09-11","Resting",37,31.8965517241379
"Suzano","Sep","2018-09-11","Travel",28,24.1379310344828
"Taquara","Jan","2018-01-27","Foraging",13,9.84848484848485
"Taquara","Jan","2018-01-27","Frugivory",31,23.4848484848485
"Taquara","Jan","2018-01-27","Resting",19,14.3939393939394
"Taquara","Jan","2018-01-27","Travel",59,44.6969696969697
"Taquara","Jan","2018-01-28","Foraging",14,9.85915492957746
"Taquara","Jan","2018-01-28","Frugivory",26,18.3098591549296
"Taquara","Jan","2018-01-28","Resting",34,23.943661971831
"Taquara","Jan","2018-01-28","Travel",48,33.8028169014084
"Taquara","Jan","2018-01-29","Foraging",14,9.52380952380952
"Taquara","Jan","2018-01-29","Frugivory",24,16.3265306122449
"Taquara","Jan","2018-01-29","Resting",29,19.7278911564626
"Taquara","Jan","2018-01-29","Travel",52,35.3741496598639
"Taquara","Jan","2018-01-30","Foraging",10,7.14285714285714
"Taquara","Jan","2018-01-30","Frugivory",29,20.7142857142857
"Taquara","Jan","2018-01-30","Resting",30,21.4285714285714
"Taquara","Jan","2018-01-30","Travel",51,36.4285714285714
"Taquara","Jan","2018-01-31","Foraging",15,10.1351351351351
"Taquara","Jan","2018-01-31","Frugivory",16,10.8108108108108
"Taquara","Jan","2018-01-31","Resting",40,27.027027027027
"Taquara","Jan","2018-01-31","Travel",48,32.4324324324324
"Taquara","Jan","2018-02-03","Foraging",16,10.958904109589
"Taquara","Jan","2018-02-03","Frugivory",33,22.6027397260274
"Taquara","Jan","2018-02-03","Resting",35,23.972602739726
"Taquara","Jan","2018-02-03","Travel",43,29.4520547945205
